Simulation at 2024-03-03
Universe size 30 x 15

Generation: 1
Entity	Count	Percent
Generation: 15
Entity	Count	Percent
block	1	100.00%
beehive	0	0.00%
loaf	0	0.00%
boat	0	0.00%
tub	0	0.00%
blinker	0	0.00%
toad	0	0.00%
beacon	0	0.00%
glider	0	0.00%
LWSS	0	0.00%
Total:	1	100%

Generation: 16
Entity	Count	Percent
block	1	100.00%
beehive	0	0.00%
loaf	0	0.00%
boat	0	0.00%
tub	0	0.00%
blinker	0	0.00%
toad	0	0.00%
beacon	0	0.00%
glider	0	0.00%
LWSS	0	0.00%
Total:	1	100%

Generation: 17
Entity	Count	Percent
block	1	100.00%
beehive	0	0.00%
loaf	0	0.00%
boat	0	0.00%
tub	0	0.00%
blinker	0	0.00%
toad	0	0.00%
beacon	0	0.00%
glider	0	0.00%
LWSS	0	0.00%
Total:	1	100%

Generation: 18
Entity	Count	Percent
block	1	100.00%
beehive	0	0.00%
loaf	0	0.00%
boat	0	0.00%
tub	0	0.00%
blinker	0	0.00%
toad	0	0.00%
beacon	0	0.00%
glider	0	0.00%
LWSS	0	0.00%
Total:	1	100%

Generation: 19
Entity	Count	Percent
block	1	100.00%
beehive	0	0.00%
loaf	0	0.00%
boat	0	0.00%
tub	0	0.00%
blinker	0	0.00%
toad	0	0.00%
beacon	0	0.00%
glider	0	0.00%
LWSS	0	0.00%
Total:	1	100%

Generation: 20
Entity	Count	Percent
block	1	100.00%
beehive	0	0.00%
loaf	0	0.00%
boat	0	0.00%
tub	0	0.00%
blinker	0	0.00%
toad	0	0.00%
beacon	0	0.00%
glider	0	0.00%
LWSS	0	0.00%
Total:	1	100%

Generation: 21
Entity	Count	Percent
block	1	100.00%
beehive	0	0.00%
loaf	0	0.00%
boat	0	0.00%
tub	0	0.00%
blinker	0	0.00%
toad	0	0.00%
beacon	0	0.00%
glider	0	0.00%
LWSS	0	0.00%
Total:	1	100%

Generation: 22
Entity	Count	Percent
block	1	100.00%
beehive	0	0.00%
loaf	0	0.00%
boat	0	0.00%
tub	0	0.00%
blinker	0	0.00%
toad	0	0.00%
beacon	0	0.00%
glider	0	0.00%
LWSS	0	0.00%
Total:	1	100%

Generation: 23
Entity	Count	Percent
block	1	100.00%
beehive	0	0.00%
loaf	0	0.00%
boat	0	0.00%
tub	0	0.00%
blinker	0	0.00%
toad	0	0.00%
beacon	0	0.00%
glider	0	0.00%
LWSS	0	0.00%
Total:	1	100%

Generation: 24
Entity	Count	Percent
block	1	100.00%
beehive	0	0.00%
loaf	0	0.00%
boat	0	0.00%
tub	0	0.00%
blinker	0	0.00%
toad	0	0.00%
beacon	0	0.00%
glider	0	0.00%
LWSS	0	0.00%
Total:	1	100%

Generation: 25
Entity	Count	Percent
block	1	100.00%
beehive	0	0.00%
loaf	0	0.00%
boat	0	0.00%
tub	0	0.00%
blinker	0	0.00%
toad	0	0.00%
beacon	0	0.00%
glider	0	0.00%
LWSS	0	0.00%
Total:	1	100%

Generation: 26
Entity	Count	Percent
block	1	100.00%
beehive	0	0.00%
loaf	0	0.00%
boat	0	0.00%
tub	0	0.00%
blinker	0	0.00%
toad	0	0.00%
beacon	0	0.00%
glider	0	0.00%
LWSS	0	0.00%
Total:	1	100%

Generation: 27
Entity	Count	Percent
block	1	100.00%
beehive	0	0.00%
loaf	0	0.00%
boat	0	0.00%
tub	0	0.00%
blinker	0	0.00%
toad	0	0.00%
beacon	0	0.00%
glider	0	0.00%
LWSS	0	0.00%
Total:	1	100%

Generation: 28
Entity	Count	Percent
block	1	100.00%
beehive	0	0.00%
loaf	0	0.00%
boat	0	0.00%
tub	0	0.00%
blinker	0	0.00%
toad	0	0.00%
beacon	0	0.00%
glider	0	0.00%
LWSS	0	0.00%
Total:	1	100%

Generation: 29
Entity	Count	Percent
block	1	100.00%
beehive	0	0.00%
loaf	0	0.00%
boat	0	0.00%
tub	0	0.00%
blinker	0	0.00%
toad	0	0.00%
beacon	0	0.00%
glider	0	0.00%
LWSS	0	0.00%
Total:	1	100%

Generation: 30
Entity	Count	Percent
block	1	100.00%
beehive	0	0.00%
loaf	0	0.00%
boat	0	0.00%
tub	0	0.00%
blinker	0	0.00%
toad	0	0.00%
beacon	0	0.00%
glider	0	0.00%
LWSS	0	0.00%
Total:	1	100%

Generation: 31
Entity	Count	Percent
block	1	100.00%
beehive	0	0.00%
loaf	0	0.00%
boat	0	0.00%
tub	0	0.00%
blinker	0	0.00%
toad	0	0.00%
beacon	0	0.00%
glider	0	0.00%
LWSS	0	0.00%
Total:	1	100%

Generation: 32
Entity	Count	Percent
block	1	100.00%
beehive	0	0.00%
loaf	0	0.00%
boat	0	0.00%
tub	0	0.00%
blinker	0	0.00%
toad	0	0.00%
beacon	0	0.00%
glider	0	0.00%
LWSS	0	0.00%
Total:	1	100%

Generation: 33
Entity	Count	Percent
block	1	100.00%
beehive	0	0.00%
loaf	0	0.00%
boat	0	0.00%
tub	0	0.00%
blinker	0	0.00%
toad	0	0.00%
beacon	0	0.00%
glider	0	0.00%
LWSS	0	0.00%
Total:	1	100%

Generation: 34
Entity	Count	Percent
block	1	100.00%
beehive	0	0.00%
loaf	0	0.00%
boat	0	0.00%
tub	0	0.00%
blinker	0	0.00%
toad	0	0.00%
beacon	0	0.00%
glider	0	0.00%
LWSS	0	0.00%
Total:	1	100%

Generation: 35
Entity	Count	Percent
block	1	100.00%
beehive	0	0.00%
loaf	0	0.00%
boat	0	0.00%
tub	0	0.00%
blinker	0	0.00%
toad	0	0.00%
beacon	0	0.00%
glider	0	0.00%
LWSS	0	0.00%
Total:	1	100%

Generation: 36
Entity	Count	Percent
block	1	100.00%
beehive	0	0.00%
loaf	0	0.00%
boat	0	0.00%
tub	0	0.00%
blinker	0	0.00%
toad	0	0.00%
beacon	0	0.00%
glider	0	0.00%
LWSS	0	0.00%
Total:	1	100%

Generation: 37
Entity	Count	Percent
block	1	100.00%
beehive	0	0.00%
loaf	0	0.00%
boat	0	0.00%
tub	0	0.00%
blinker	0	0.00%
toad	0	0.00%
beacon	0	0.00%
glider	0	0.00%
LWSS	0	0.00%
Total:	1	100%

Generation: 38
Entity	Count	Percent
block	1	100.00%
beehive	0	0.00%
loaf	0	0.00%
boat	0	0.00%
tub	0	0.00%
blinker	0	0.00%
toad	0	0.00%
beacon	0	0.00%
glider	0	0.00%
LWSS	0	0.00%
Total:	1	100%

Generation: 39
Entity	Count	Percent
block	1	100.00%
beehive	0	0.00%
loaf	0	0.00%
boat	0	0.00%
tub	0	0.00%
blinker	0	0.00%
toad	0	0.00%
beacon	0	0.00%
glider	0	0.00%
LWSS	0	0.00%
Total:	1	100%

Generation: 40
Entity	Count	Percent
block	1	100.00%
beehive	0	0.00%
loaf	0	0.00%
boat	0	0.00%
tub	0	0.00%
blinker	0	0.00%
toad	0	0.00%
beacon	0	0.00%
glider	0	0.00%
LWSS	0	0.00%
Total:	1	100%

Generation: 41
Entity	Count	Percent
block	1	100.00%
beehive	0	0.00%
loaf	0	0.00%
boat	0	0.00%
tub	0	0.00%
blinker	0	0.00%
toad	0	0.00%
beacon	0	0.00%
glider	0	0.00%
LWSS	0	0.00%
Total:	1	100%

Generation: 42
Entity	Count	Percent
block	1	100.00%
beehive	0	0.00%
loaf	0	0.00%
boat	0	0.00%
tub	0	0.00%
blinker	0	0.00%
toad	0	0.00%
beacon	0	0.00%
glider	0	0.00%
LWSS	0	0.00%
Total:	1	100%

Generation: 43
Entity	Count	Percent
block	1	100.00%
beehive	0	0.00%
loaf	0	0.00%
boat	0	0.00%
tub	0	0.00%
blinker	0	0.00%
toad	0	0.00%
beacon	0	0.00%
glider	0	0.00%
LWSS	0	0.00%
Total:	1	100%

Generation: 44
Entity	Count	Percent
block	1	100.00%
beehive	0	0.00%
loaf	0	0.00%
boat	0	0.00%
tub	0	0.00%
blinker	0	0.00%
toad	0	0.00%
beacon	0	0.00%
glider	0	0.00%
LWSS	0	0.00%
Total:	1	100%

Generation: 45
Entity	Count	Percent
block	1	100.00%
beehive	0	0.00%
loaf	0	0.00%
boat	0	0.00%
tub	0	0.00%
blinker	0	0.00%
toad	0	0.00%
beacon	0	0.00%
glider	0	0.00%
LWSS	0	0.00%
Total:	1	100%

Generation: 46
Entity	Count	Percent
block	1	100.00%
beehive	0	0.00%
loaf	0	0.00%
boat	0	0.00%
tub	0	0.00%
blinker	0	0.00%
toad	0	0.00%
beacon	0	0.00%
glider	0	0.00%
LWSS	0	0.00%
Total:	1	100%

Generation: 47
Entity	Count	Percent
block	1	100.00%
beehive	0	0.00%
loaf	0	0.00%
boat	0	0.00%
tub	0	0.00%
blinker	0	0.00%
toad	0	0.00%
beacon	0	0.00%
glider	0	0.00%
LWSS	0	0.00%
Total:	1	100%

Generation: 48
Entity	Count	Percent
block	1	100.00%
beehive	0	0.00%
loaf	0	0.00%
boat	0	0.00%
tub	0	0.00%
blinker	0	0.00%
toad	0	0.00%
beacon	0	0.00%
glider	0	0.00%
LWSS	0	0.00%
Total:	1	100%

Generation: 49
Entity	Count	Percent
block	1	100.00%
beehive	0	0.00%
loaf	0	0.00%
boat	0	0.00%
tub	0	0.00%
blinker	0	0.00%
toad	0	0.00%
beacon	0	0.00%
glider	0	0.00%
LWSS	0	0.00%
Total:	1	100%

Generation: 50
Entity	Count	Percent
block	1	100.00%
beehive	0	0.00%
loaf	0	0.00%
boat	0	0.00%
tub	0	0.00%
blinker	0	0.00%
toad	0	0.00%
beacon	0	0.00%
glider	0	0.00%
LWSS	0	0.00%
Total:	1	100%
